ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.174191213427064,344.9925090725003,344.1713372754478,6.84035763987079,845.439751257204,27.701213078221688,5.788187219828412,79.97105936117596,2.351541259632086,1
6.387965442870435,373.69527443918633,331.05481217879014,5.418061969656981,925.2110686286084,25.303211630111885,8.819813306502422,88.71636840737183,2.412439368838853,1
5.33738184158356,307.4401688934103,410.78894539673865,5.887202466342739,892.2024460379038,21.079446744766315,12.853725864310375,109.0832599341525,2.9857150565300388,0
4.362672624975893,158.0756311096366,345.87769279595693,6.419506940218176,851.4961672491493,25.362045780734302,13.316047599788892,152.23127058259175,2.2083264156623543,0
6.405034033973636,269.70740926430744,354.6221126792001,4.900154912759887,1067.2058801457006,27.48827452527745,10.74963489404178,106.7514132465193,3.702847606650438,0
9.52866401606006,467.5691352730826,333.6807217795765,8.989909500372622,932.9764974887856,27.94801852951796,19.17734056786922,143.70713537508792,4.230211345795495,0
7.962336263917637,281.58292246352613,261.6421324396335,7.066854531694973,772.7140186649341,28.400468632604024,19.432711694312896,74.42060885930988,4.09691232973598,0
7.146058886171626,356.12185117424843,365.9250902993762,7.596177436313416,1006.7736499462228,22.66784531188705,12.393921347131242,101.45467215981108,2.899057200782756,1
6.405034033973636,387.30198434433805,320.00949392693417,8.742878705464339,644.6417331828055,23.50724412462553,9.265187125030284,169.60767816188329,3.2515314889318945,0
6.405034033973636,297.7396549812049,365.69388606448325,6.707091704712419,1029.9368703694624,26.588188639972177,10.62294184957917,93.23490221808392,2.357421307018489,0
6.083583798098635,282.0867860848115,358.50470025500096,6.631946034999138,896.9785499880961,27.10076843735704,10.93826344940812,79.07920772616639,1.8210476309236572,0
9.065392877299477,326.5694548526816,345.73297955565766,6.606369611714968,759.3523552886952,24.298980812667423,14.686829916860656,105.53880133227952,2.028950664917541,0
5.381768027826134,392.8139959490108,213.72387525861907,5.6705105948227015,845.439751257204,26.78457298967269,11.141345961078857,165.12382710568974,2.2662001379432994,1
5.698033351661394,284.5189892432345,348.2509192305123,5.814830853637276,969.5131383563696,25.554295037011727,10.131995051140446,89.4891650626987,2.6483496181818897,1
6.204507153904631,433.4654706270008,467.2998440954353,4.140568443778832,478.2366705426076,23.73392677764354,12.232965678747764,96.47975543440504,2.8756983624616668,1
7.477930409413962,266.01899141873616,327.9210480683264,6.366987552330392,851.4961672491493,31.565117192231668,14.386243213667507,79.61820869443618,3.0796096144021963,0
7.7929057112344,245.92196541961155,406.2071528028429,5.154628712468619,845.439751257204,24.97588628720621,6.54603288396231,102.38408839607004,1.7500655964544467,1
6.405034033973636,314.98034000146424,254.9963568960352,6.81980495445212,1051.304163311888,27.119505010609437,13.382882673068144,46.2423329203356,1.9135847694073165,0
8.847342781314387,414.5322795485913,320.9768944897866,6.138771224567976,876.3005497280179,29.2280054336896,17.5217193261789,84.62091173702552,0.8735754716461301,0
